f_GHz,eta_dss_avrg,eta_surf_avrg,ETA_TRACK_AVRG,Tatm_avrg,Trcvr,Tau0,EST0,ATTEN_Avrg,Eta_track_Mustang,Trcvr_Mustang,EST0_Mustang,ATTEN_MUSTANG_1
101.0000,0.5000,1.0000,0.9871,247.5846,75.0000,0.0485,97.1800,1.1706, , , , 
102.0000,0.5000,1.0000,0.9878,247.5331,75.0000,0.0499,97.6562,1.1728, , , , 
103.0000,0.5000,1.0000,0.9885,247.4561,75.0000,0.0522,98.4400,1.1764, , , , 
104.0000,0.5000,1.0000,0.9893,247.3790,75.0000,0.0545,99.2253,1.1800, , , , 
105.0000,0.5000,1.0000,0.9900,247.2758,75.0000,0.0583,100.5273,1.1859, , , , 
106.0000,0.5000,1.0000,0.9908,247.1726,75.0000,0.0621,101.8334,1.1917, , , , 
107.0000,0.5000,1.0000,0.9915,247.0454,75.0000,0.0684,104.0285,1.2015, , , , 
108.0000,0.5000,1.0000,0.9923,246.9183,75.0000,0.0748,106.2359,1.2113, , , , 
109.0000,0.5000,1.0000,0.9931,246.7753,75.0000,0.0861,110.1846,1.2287, , , , 
110.0000,0.5000,1.0000,0.9939,246.6323,75.0000,0.0973,114.1745,1.2464, , , , 
111.0000,0.5000,1.0000,0.9947,246.4931,75.0000,0.1197,122.2621,1.2818, , , , 
112.0000,0.5000,1.0000,0.9956,246.3538,75.0000,0.1421,130.5262,1.3181, , , , 
113.0000,0.5000,1.0000,0.9964,248.1414,75.0000,0.1933,150.5486,1.4033, , , , 
114.0000,0.5000,1.0000,0.9973,249.9291,75.0000,0.2445,171.8307,1.4930, , , , 
115.0000,0.5000,1.0000,0.9982,253.5189,75.0000,0.4102,249.0946,1.8173, , , , 
116.0000,0.5000,1.0000,0.9991,257.1088,75.0000,0.5758,341.8999,2.2005, , , , 
